Brand,Color,Ratings,Ratings_reviews,Original_price,Selling_price,Ram,Rom,Discount,Model
OPPO,Midnight Violet,4.4,"22,077 Ratings & 1,683 Reviews","₹15,999","₹12,499",4 GB,128 GB,21% off,OPPO K13x
Samsung,Onyx Black,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
MOTOROLA,Pantone Fluidity,4.4,"10,505 Ratings & 570 Reviews","₹17,999","₹13,999",8 GB,128 GB,22% off,MOTOROLA g57
MOTOROLA,PANTONE Mykonos Blue,4.4,"1,17,679 Ratings & 6,090 Reviews","₹25,999","₹21,999",8 GB,256 GB,15% off,MOTOROLA Edge
Samsung,Marble Gray,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
Samsung,Onyx Black,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
vivo,Titanium Gold,4.4,"42,665 Ratings & 1,245 Reviews","₹12,999","₹10,999",4 GB,64 GB,15% off,vivo T4
realme,Midnight Lily,4.4,"7,412 Ratings & 305 Reviews","₹12,999","₹11,999",4 GB,128 GB,7% off,realme P3
REDMI,Crimson Art,4.3,"24,135 Ratings & 1,036 Reviews","₹19,999","₹13,499",6 GB,128 GB,32% off,REDMI Note
vivo,Prism Blue,4.4,"42,665 Ratings & 1,245 Reviews","₹13,999","₹11,999",4 GB,128 GB,14% off,vivo T4
Samsung,Amber Yellow,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
Samsung,Marble Gray,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
MOTOROLA,PANTONE Amazonite,4.4,"1,17,679 Ratings & 6,090 Reviews","₹25,999","₹21,999",8 GB,256 GB,15% off,MOTOROLA Edge
MOTOROLA,Pantone Shadow,4.3,"13,629 Ratings & 1,104 Reviews","₹40,999","₹32,999",12 GB,256 GB,19% off,MOTOROLA Edge
realme,Matte Silver,4.3,"1,570 Ratings & 137 Reviews","₹20,999","₹18,499",8 GB,256 GB,11% off,realme P4x
MOTOROLA,PANTONE Mykonos Blue,4.4,"46,542 Ratings & 2,422 Reviews","₹27,999","₹23,999",12 GB,256 GB,14% off,MOTOROLA Edge
Samsung,Cobalt Violet,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
Samsung,Cobalt Violet,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
MOTOROLA,Leaf Green,4.2,"1,21,773 Ratings & 7,462 Reviews","₹12,499","₹10,999",4 GB,128 GB,12% off,MOTOROLA g35
POCO,Lavender Frost,4.3,"36,348 Ratings & 2,602 Reviews","₹18,999","₹13,499",6 GB,128 GB,28% off,POCO M7
REDMI,Titan Black,4.3,"24,135 Ratings & 1,036 Reviews","₹19,999","₹13,499",6 GB,128 GB,32% off,REDMI Note
MOTOROLA,Guava Red,4.2,"1,21,773 Ratings & 7,462 Reviews","₹12,499","₹10,999",4 GB,128 GB,12% off,MOTOROLA g35
REDMI,Sparkle Purple,4.2,"1,876 Ratings & 65 Reviews","₹12,999","₹10,804",6 GB,128 GB,16% off,REDMI A4
realme,Lake Green,4.3,"1,570 Ratings & 137 Reviews","₹20,999","₹18,499",8 GB,256 GB,11% off,realme P4x
MOTOROLA,Pantone Parachute,4.4,"6,442 Ratings & 364 Reviews","₹18,999","₹15,999",8 GB,128 GB,15% off,MOTOROLA g67
MOTOROLA,Pantone Cilantro,4.4,"6,442 Ratings & 364 Reviews","₹18,999","₹15,999",8 GB,128 GB,15% off,MOTOROLA g67
OPPO,Midnight Violet,4.4,"22,077 Ratings & 1,683 Reviews","₹15,999","₹12,499",4 GB,128 GB,21% off,OPPO K13x
Samsung,Onyx Black,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
vivo,Pronto Purple,4.4,"1,53,685 Ratings & 7,232 Reviews","₹20,999","₹18,499",8 GB,256 GB,11% off,vivo T4x
vivo,Glacial Teal,4.5,"2,04,656 Ratings & 8,968 Reviews","₹17,999","₹15,499",6 GB,128 GB,13% off,vivo T4x
Samsung,Marble Gray,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
Samsung,Onyx Black,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
Nothing,3a) Pro (Grey,4.5,"12,808 Ratings & 972 Reviews","₹32,999","₹28,999",8 GB,128 GB,12% off,Nothing Phone
Samsung,Awesome Iceblue,4.4,"70,416 Ratings & 4,089 Reviews","₹33,999","₹19,999",8 GB,128 GB,41% off,Samsung Galaxy
